iteration,rss,elapsed_time,benchmark,tool,trial_id
7,816484,228,spring,galette,203
8,817056,227,spring,galette,203
9,818148,263,spring,galette,203
5,333908,133,h2,none,90
6,338180,126,h2,none,90
7,337592,127,h2,none,90
8,338536,141,h2,none,90
9,339452,106,h2,none,90
5,251396,298,eclipse,none,507
6,255892,372,eclipse,none,507
7,257956,426,eclipse,none,507
8,263264,292,eclipse,none,507
9,280280,310,eclipse,none,507
5,2143548,1583541,avrora,mirror-taint,378
6,2930268,1546332,avrora,mirror-taint,378
7,2140764,1564912,avrora,mirror-taint,378
8,2745120,1565313,avrora,mirror-taint,378
9,2223652,1592533,avrora,mirror-taint,378
5,250768,410,eclipse,none,591
6,248644,454,eclipse,none,591
7,250644,346,eclipse,none,591
8,253868,397,eclipse,none,591
9,255828,378,eclipse,none,591
5,552024,7111,graphchi,phosphor,824
6,546736,7467,graphchi,phosphor,824
7,552616,7327,graphchi,phosphor,824
8,547492,7347,graphchi,phosphor,824
9,544352,7568,graphchi,phosphor,824
5,2547124,6041,jython,galette,366
6,2715168,5252,jython,galette,366
7,3149044,6553,jython,galette,366
8,3411400,5267,jython,galette,366
9,3633896,5010,jython,galette,366
5,1086432,628,spring,phosphor,1001
6,1089044,564,spring,phosphor,1001
7,1090012,510,spring,phosphor,1001
8,1090764,491,spring,phosphor,1001
9,1090912,639,spring,phosphor,1001
5,2734852,899490,batik,mirror-taint,127
6,2732496,870670,batik,mirror-taint,127
7,2556304,844382,batik,mirror-taint,127
8,2444516,832200,batik,mirror-taint,127
9,2576996,815501,batik,mirror-taint,127
5,419508,409,jython,none,9
6,403280,408,jython,none,9
7,403752,380,jython,none,9
8,484596,394,jython,none,9
9,407484,354,jython,none,9
5,422368,1971,lusearch,phosphor,1671
6,423024,1760,lusearch,phosphor,1671
7,422216,1522,lusearch,phosphor,1671
8,398552,1624,lusearch,phosphor,1671
9,398608,1698,lusearch,phosphor,1671
5,205572,731,jme,none,1016
6,222224,925,jme,none,1016
7,233340,490,jme,none,1016
8,227240,493,jme,none,1016
9,247240,964,jme,none,1016
5,2286936,790793,batik,mirror-taint,883
6,2387468,790312,batik,mirror-taint,883
7,2397752,790227,batik,mirror-taint,883
8,2176544,791541,batik,mirror-taint,883
9,2347324,789545,batik,mirror-taint,883
5,661016,463,tradesoap,none,1110
6,662292,423,tradesoap,none,1110
7,663380,477,tradesoap,none,1110
8,665120,373,tradesoap,none,1110
9,665260,377,tradesoap,none,1110
5,237460,1024,jme,none,1520
6,305972,1074,jme,none,1520
7,262848,392,jme,none,1520
8,282092,753,jme,none,1520
9,289180,1198,jme,none,1520
5,328600,367,tomcat,none,436
6,296932,331,tomcat,none,436
7,304908,340,tomcat,none,436
8,295496,321,tomcat,none,436
9,309452,318,tomcat,none,436
5,748124,114842,h2,mirror-taint,1560
6,748400,123236,h2,mirror-taint,1560
7,749564,113510,h2,mirror-taint,1560
8,749968,121930,h2,mirror-taint,1560
9,750340,116137,h2,mirror-taint,1560
5,267316,477,tomcat,none,1192
6,265816,512,tomcat,none,1192
7,304908,475,tomcat,none,1192
8,268656,510,tomcat,none,1192
9,284128,492,tomcat,none,1192
5,470468,614,fop,phosphor,1411
6,471936,650,fop,phosphor,1411
7,475084,606,fop,phosphor,1411
8,476016,556,fop,phosphor,1411
9,478112,539,fop,phosphor,1411
5,842368,114164,h2,mirror-taint,384
6,842408,121615,h2,mirror-taint,384
7,760108,116597,h2,mirror-taint,384
8,745324,117866,h2,mirror-taint,384
9,745584,116213,h2,mirror-taint,384
5,223972,459,xalan,galette,1384
6,235284,506,xalan,galette,1384
7,227336,458,xalan,galette,1384
8,228776,412,xalan,galette,1384
9,229128,399,xalan,galette,1384
5,2509580,1339702,avrora,mirror-taint,546
6,2385692,1339619,avrora,mirror-taint,546
7,2240612,1359115,avrora,mirror-taint,546
8,2578268,1333916,avrora,mirror-taint,546
9,2444188,1343203,avrora,mirror-taint,546
5,300756,517,fop,galette,1537
6,303024,380,fop,galette,1537
7,299512,377,fop,galette,1537
8,300736,443,fop,galette,1537
9,302724,459,fop,galette,1537
5,180312,2399,avrora,none,336
6,128988,2707,avrora,none,336
7,129160,2458,avrora,none,336
8,109392,2323,avrora,none,336
9,109424,2203,avrora,none,336
5,397148,79,spring,none,434
6,397636,87,spring,none,434
7,398156,79,spring,none,434
8,398332,57,spring,none,434
9,398616,73,spring,none,434
5,700368,5921,jme,galette,1037
6,650936,5593,jme,galette,1037
7,691348,4859,jme,galette,1037
8,689804,4614,jme,galette,1037
9,644732,5534,jme,galette,1037
5,141008,173,fop,none,928
6,143096,157,fop,none,928
7,143872,128,fop,none,928
8,144692,109,fop,none,928
9,145588,118,fop,none,928
5,612020,3753,biojava,galette,527
6,620080,3782,biojava,galette,527
7,601172,3762,biojava,galette,527
8,614980,3746,biojava,galette,527
9,604884,3746,biojava,galette,527
5,982168,3541,graphchi,galette,362
6,938288,3230,graphchi,galette,362
7,951156,3269,graphchi,galette,362
8,723944,3098,graphchi,galette,362
9,1032248,3288,graphchi,galette,362
5,959092,4012,graphchi,galette,782
6,698208,4018,graphchi,galette,782
7,866188,4126,graphchi,galette,782
8,757052,4086,graphchi,galette,782
9,1119204,4124,graphchi,galette,782
5,111032,186,zxing,none,356
6,109864,168,zxing,none,356
7,112736,157,zxing,none,356
8,113668,126,zxing,none,356
9,114448,133,zxing,none,356
5,359092,5185,sunflow,galette,1212
6,362776,4974,sunflow,galette,1212
7,364644,5190,sunflow,galette,1212
8,395668,4852,sunflow,galette,1212
9,396048,4943,sunflow,galette,1212
5,2170140,1365014,avrora,mirror-taint,882
6,2324872,1335747,avrora,mirror-taint,882
7,2187888,1357680,avrora,mirror-taint,882
8,2832888,1381532,avrora,mirror-taint,882
9,2310912,1358299,avrora,mirror-taint,882
5,317248,128,h2,none,846
6,319596,143,h2,none,846
7,320512,98,h2,none,846
8,321184,113,h2,none,846
9,321992,143,h2,none,846
5,330900,6327,avrora,phosphor,1323
6,331032,5961,avrora,phosphor,1323
7,331828,6009,avrora,phosphor,1323
8,331952,6519,avrora,phosphor,1323
9,332032,5990,avrora,phosphor,1323
5,225416,971,xalan,galette,796
6,222152,910,xalan,galette,796
7,234048,941,xalan,galette,796
8,221484,935,xalan,galette,796
9,222536,857,xalan,galette,796
5,134256,105,xalan,none,1363
6,131556,112,xalan,none,1363
7,125708,97,xalan,none,1363
8,126008,97,xalan,none,1363
9,128088,69,xalan,none,1363
5,212744,589,luindex,none,1103
6,216628,578,luindex,none,1103
7,221428,569,luindex,none,1103
8,221268,568,luindex,none,1103
9,217752,596,luindex,none,1103
5,129892,2841,avrora,none,1512
6,105072,2951,avrora,none,1512
7,167008,2727,avrora,none,1512
8,106164,2743,avrora,none,1512
9,165760,2484,avrora,none,1512
5,2141948,1631551,avrora,mirror-taint,630
6,2182804,1636335,avrora,mirror-taint,630
7,2141776,1623154,avrora,mirror-taint,630
8,2156824,1618002,avrora,mirror-taint,630
9,2552840,1605794,avrora,mirror-taint,630
5,795296,274,spring,galette,287
6,796304,261,spring,galette,287
7,797336,277,spring,galette,287
8,797808,266,spring,galette,287
9,798256,262,spring,galette,287
5,291580,531,fop,galette,529
6,301268,612,fop,galette,529
7,305200,686,fop,galette,529
8,301392,1019,fop,galette,529
9,300096,545,fop,galette,529
5,308768,367,tomcat,none,604
6,276764,361,tomcat,none,604
7,285188,339,tomcat,none,604
8,276292,332,tomcat,none,604
9,293488,385,tomcat,none,604
5,373032,6430,sunflow,phosphor,246
6,371188,5800,sunflow,phosphor,246
7,371660,6548,sunflow,phosphor,246
8,377260,5655,sunflow,phosphor,246
9,372360,6034,sunflow,phosphor,246
5,259688,334,pmd,galette,790
6,262608,357,pmd,galette,790
7,262568,339,pmd,galette,790
8,261260,289,pmd,galette,790
9,264708,307,pmd,galette,790
5,815400,1728,h2,phosphor,1497
6,817268,1702,h2,phosphor,1497
7,818632,1807,h2,phosphor,1497
8,820936,1458,h2,phosphor,1497
9,826896,1467,h2,phosphor,1497
5,102500,221,zxing,none,692
6,101128,154,zxing,none,692
7,99284,180,zxing,none,692
8,102184,154,zxing,none,692
9,104136,170,zxing,none,692
5,136480,92,fop,none,1096
6,137804,72,fop,none,1096
7,139292,74,fop,none,1096
8,140448,67,fop,none,1096
9,141616,61,fop,none,1096
5,4694152,1341921,zxing,mirror-taint,146
6,4387340,1316009,zxing,mirror-taint,146
7,4221416,1319971,zxing,mirror-taint,146
8,4057892,1311957,zxing,mirror-taint,146
9,4752808,1318122,zxing,mirror-taint,146
5,252572,1328,jme,none,1436
6,245856,1376,jme,none,1436
7,281340,457,jme,none,1436
8,267832,1338,jme,none,1436
9,254756,402,jme,none,1436
5,120844,167,zxing,none,1112
6,106996,192,zxing,none,1112
7,109708,179,zxing,none,1112
8,109592,193,zxing,none,1112
9,114300,185,zxing,none,1112
5,248820,375,pmd,galette,1294
6,249456,363,pmd,galette,1294
7,254376,381,pmd,galette,1294
8,252000,330,pmd,galette,1294
9,252776,328,pmd,galette,1294
5,200476,179,lusearch,none,12
6,221812,172,lusearch,none,12
7,221576,164,lusearch,none,12
8,208540,140,lusearch,none,12
9,213268,146,lusearch,none,12
5,836388,722049,lusearch,mirror-taint,222
6,756632,715863,lusearch,mirror-taint,222
7,816036,704245,lusearch,mirror-taint,222
8,756860,678313,lusearch,mirror-taint,222
9,832700,677296,lusearch,mirror-taint,222
5,406372,510,h2o,none,91
6,384780,498,h2o,none,91
7,421612,482,h2o,none,91
8,386216,484,h2o,none,91
9,465384,519,h2o,none,91
5,392084,607,graphchi,none,1265
6,478172,661,graphchi,none,1265
7,351592,555,graphchi,none,1265
8,415916,604,graphchi,none,1265
9,420524,543,graphchi,none,1265
5,128220,113,pmd,none,1105
6,127368,110,pmd,none,1105
7,126656,89,pmd,none,1105
8,134352,71,pmd,none,1105
9,140240,78,pmd,none,1105
5,2382136,796183,batik,mirror-taint,967
6,2444452,795680,batik,mirror-taint,967
7,2172372,796661,batik,mirror-taint,967
8,2440736,795863,batik,mirror-taint,967
9,2191292,797264,batik,mirror-taint,967
5,2177804,1801249,avrora,mirror-taint,294
6,2874632,1688992,avrora,mirror-taint,294
7,2853152,1455772,avrora,mirror-taint,294
8,2266200,1391340,avrora,mirror-taint,294
9,2285336,1416162,avrora,mirror-taint,294
5,334604,525,h2o,none,1015
6,412708,650,h2o,none,1015
7,357344,489,h2o,none,1015
8,401216,749,h2o,none,1015
9,363760,605,h2o,none,1015
5,750312,2123,lusearch,galette,537
6,734952,1992,lusearch,galette,537
7,750520,1844,lusearch,galette,537
8,746036,1834,lusearch,galette,537
9,746768,1810,lusearch,galette,537
5,210404,320,batik,none,673
6,226848,305,batik,none,673
7,227936,351,batik,none,673
8,230616,400,batik,none,673
9,240180,346,batik,none,673
5,235884,689,xalan,galette,376
6,222804,675,xalan,galette,376
